ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001398344-23-023303	31-DEC-2019	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023072	31-MAR-2020	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023070	30-SEP-2018	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0000950123-23-011244	30-SEP-2023	Y	1	RESTATEMENT	N				SC US (TTGP), LTD.	2800 SAND HILL RD, SUITE 101		MENLO PARK	CA	94025	13F HOLDINGS REPORT	028-16211			N	
0001766806-23-000106	30-SEP-2023	Y	3	RESTATEMENT					Shaolin Capital Management LLC	230 NW 24TH STREET	SUITE 603	MIAMI	FL	33127	13F HOLDINGS REPORT	028-19514			N	
0001766806-23-000105	30-SEP-2023	Y	2	RESTATEMENT					Shaolin Capital Management LLC	230 NW 24TH STREET	SUITE 603	MIAMI	FL	33127	13F HOLDINGS REPORT	028-19514			N	
0001661245-23-000005	30-SEP-2023								Moss Adams Wealth Advisors LLC	999 THIRD AVE STE 2800		SEATTLE	WA	98104	13F COMBINATION REPORT	028-23480	000108917	801-58074	N	
0001661245-23-000004	30-JUN-2023								Moss Adams Wealth Advisors LLC	999 THIRD AVE STE 2800		SEATTLE	WA	98104	13F COMBINATION REPORT	028-23480	000108917	801-58074	N	
0001661245-23-000003	31-MAR-2023								Moss Adams Wealth Advisors LLC	999 THIRD AVE STE 2800		SEATTLE	WA	98104	13F COMBINATION REPORT	028-23480	000108917	801-58074	N	
0001661245-23-000002	31-DEC-2022								Moss Adams Wealth Advisors LLC	999 THIRD AVE STE 2800		SEATTLE	WA	98104	13F COMBINATION REPORT	028-23480	000108917	801-58074	N	
0001974403-23-000006	30-SEP-2023	Y	1	NEW HOLDINGS					Vawter Financial, Ltd.	1161 BETHEL ROAD	SUITE 304	COLUMBUS	OH	43220	13F HOLDINGS REPORT	028-23274			N	
0001398344-23-022979	31-DEC-2020	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022987	30-JUN-2020	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022988	30-SEP-2021	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022984	30-JUN-2021	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022983	31-DEC-2021	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022982	30-SEP-2020	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022980	31-MAR-2021	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001007280-23-000013	30-SEP-2023	Y	1	RESTATEMENT					PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO	277 E TOWN ST		COLUMBUS	OH	43215	13F HOLDINGS REPORT	028-05230			N	
0001007280-23-000012	30-JUN-2023	Y	1	RESTATEMENT					PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO	277 E TOWN ST		COLUMBUS	OH	43215	13F HOLDINGS REPORT	028-05230			N	
0001007280-23-000011	31-MAR-2023	Y	1	RESTATEMENT					PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO	277 E TOWN ST		COLUMBUS	OH	43215	13F HOLDINGS REPORT	028-05230			N	
0001007280-23-000010	31-DEC-2022	Y	1	RESTATEMENT					PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO	277 E TOWN ST		COLUMBUS	OH	43215	13F HOLDINGS REPORT	028-05230			N	
0001398344-23-022879	30-JUN-2022	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022880	31-MAR-2022	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022881	30-SEP-2022	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022864	30-SEP-2023	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022863	31-MAR-2023	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022861	30-JUN-2023	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-022860	31-DEC-2022	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001540656-23-000021	30-SEP-2023	Y	1	RESTATEMENT					Gladius Capital Management LP	233 SOUTH WACKER DRIVE	SUITE 5725	CHICAGO	IL	60606	13F HOLDINGS REPORT	028-14812	000152023	801-70841	N	
0001540656-23-000019	30-JUN-2023	Y	1	RESTATEMENT					Gladius Capital Management LP	233 SOUTH WACKER DRIVE	SUITE 5725	CHICAGO	IL	60606	13F HOLDINGS REPORT	028-14812	000152023	801-70841	N	
0001540656-23-000017	31-MAR-2023	Y	1	RESTATEMENT					Gladius Capital Management LP	233 SOUTH WACKER DRIVE	SUITE 5725	CHICAGO	IL	60606	13F HOLDINGS REPORT	028-14812	000152023	801-70841	N	
0001540656-23-000015	31-DEC-2022	Y	1	RESTATEMENT					Gladius Capital Management LP	233 SOUTH WACKER DRIVE	SUITE 5725	CHICAGO	IL	60606	13F HOLDINGS REPORT	028-14812	000152023	801-70841	N	
0001104659-23-126763	30-SEP-2023	Y	1	RESTATEMENT	N				Vanguard Global Advisers, LLC	100 VANGUARD BOULEVARD		MALVERN	PA	19355	13F NOTICE	028-20273	000164593	801-76825	N	
0001104659-23-126762	30-SEP-2023	Y	1	RESTATEMENT	N				Vanguard National Trust Co	100 VANGUARD BVLD		MALVERN	PA	19355	13F NOTICE	028-23299			N	
0001104659-23-126760	30-SEP-2023	Y	1	RESTATEMENT	N				VANGUARD ADVISERS INC	100 Vanguard Blvd v26		Malvern	PA	19355	13F NOTICE	028-16887	000106715	801-49601	N	
0001104659-23-126758	30-SEP-2023	Y	1	RESTATEMENT	N				Vanguard Investments Australia, Ltd.	Freshwater Place, Level 34	2 Southbank Blvd.	Victoria	C3	3006	13F NOTICE	028-14986	000282933	801-107761	N	
0001104659-23-126757	30-SEP-2023	Y	1	RESTATEMENT	N				VANGUARD FIDUCIARY TRUST CO	100 VANGUARD BLVD		MALVERN	PA	19355	13F NOTICE	028-11554			N	
0001104659-23-126756	30-SEP-2023	Y	1	RESTATEMENT	N				VANGUARD GROUP INC	Po Box 2600	V26	Valley Forge	PA	19482-2600	13F COMBINATION REPORT	028-06408	000105958	801-11953	N	
0001845199-23-000004	30-SEP-2023								CoreFirst Bank & Trust	3035 SW TOPEKA BLVD		TOPEKA	KS	66611	13F HOLDINGS REPORT	028-20926			N	
0000935836-23-000731	30-SEP-2023	Y	1	RESTATEMENT	N				STADIUM CAPITAL MANAGEMENT LLC	199 Elm Street		New Canaan	CT	06840-5321	13F HOLDINGS REPORT	028-10135	000135520	801-73242	Y	The investment manager is filing this Form 13F to report additional shares of Sleep Number Corp., which were inadvertently omitted from the initial filing.
0002004581-23-000001	30-SEP-2023								Wyrmwood Management LLC	85 BROAD STREET	FLOOR 17	NEW YORK	NY	10004	13F HOLDINGS REPORT	028-23478			N	
0001398344-23-022765	30-SEP-2023	N							RWC (US) LLC	2640 S. BAYSHORE DRIVE, SUITE 201		MIAMI	FL	33133	13F NOTICE	028-19401			N	
0001803296-23-000004	30-SEP-2023	N							WNY Asset Management, LLC	6500 Sheridan Drive	Suite 200	Williamsville	NY	14221	13F HOLDINGS REPORT	028-20935	000153872	801-71632	N	
0001172661-23-004083	30-SEP-2023	N							One River Asset Management, LLC	2200 Atlantic Street	Suite 310	Stamford	CT	06902	13F HOLDINGS REPORT	028-23477	000167835	801-78232	N	
0001172661-23-004082	30-JUN-2023	N							One River Asset Management, LLC	2200 Atlantic Street	Suite 310	Stamford	CT	06902	13F HOLDINGS REPORT	028-23477	000167835	801-78232	N	
0001172661-23-004081	31-MAR-2023	N							One River Asset Management, LLC	2200 Atlantic Street	Suite 310	Stamford	CT	06902	13F HOLDINGS REPORT	028-23477	000167835	801-78232	N	
0001172661-23-004080	31-DEC-2022	N							One River Asset Management, LLC	2200 Atlantic Street	Suite 310	Stamford	CT	06902	13F HOLDINGS REPORT	028-23477	000167835	801-78232	N	
0001993325-23-000004	31-MAR-2023								Slocum, Gordon & Co LLP	39 MILL STREET		NEWPORT	RI	02840	13F HOLDINGS REPORT	028-23401	000104929		N	
0000315032-23-000030	30-SEP-2023	Y	1	RESTATEMENT					STATE FARM MUTUAL AUTOMOBILE INSURANCE CO	ONE STATE FARM PLAZA		BLOOMINGTON	IL	61710	13F COMBINATION REPORT	028-00534			Y	This amendment is being filed to report values to the nearest dollar in the Report Summary and Information Table Column 4, which values were inadvertently truncated to the nearest thousand dollars in the original filing.
0000315032-23-000029	30-JUN-2023	Y	1	RESTATEMENT					STATE FARM MUTUAL AUTOMOBILE INSURANCE CO	ONE STATE FARM PLAZA		BLOOMINGTON	IL	61710	13F COMBINATION REPORT	028-00534			Y	This amendment is being filed to report values to the nearest dollar in the Report Summary and Information Table Column 4, which values were inadvertently truncated to the nearest thousand dollars in the original filing.
0000315032-23-000028	31-MAR-2023	Y	1	RESTATEMENT					STATE FARM MUTUAL AUTOMOBILE INSURANCE CO	ONE STATE FARM PLAZA		BLOOMINGTON	IL	61710	13F COMBINATION REPORT	028-00534			Y	This amendment is being filed to report values to the nearest dollar in the Report Summary and Information Table Column 4, which values were inadvertently truncated to the nearest thousand dollars in the original filing.
0000315032-23-000027	31-DEC-2022	Y	1	RESTATEMENT					STATE FARM MUTUAL AUTOMOBILE INSURANCE CO	ONE STATE FARM PLAZA		BLOOMINGTON	IL	61710	13F COMBINATION REPORT	028-00534			Y	This amendment is being filed to report values to the nearest dollar in the Report Summary and Information Table Column 4, which values were inadvertently truncated to the nearest thousand dollars in the original filing.
0000918504-23-000004	30-SEP-2023								BIRMINGHAM CAPITAL MANAGEMENT CO INC/AL	2 PERIMETER PARK SOUTH	SUITE 235-EAST	BIRMINGHAM	AL	35243-3253	13F HOLDINGS REPORT	028-04074	000108508		N	
0001172661-23-004079	30-JUN-2023	Y	1	RESTATEMENT	N				Polar Capital Holdings Plc	16 Palace Street		London	X0	SW1E 5JD	13F HOLDINGS REPORT	028-20910	000136133	801-64644	N	
0001172661-23-004078	31-MAR-2023	Y	1	RESTATEMENT	N				Polar Capital Holdings Plc	16 Palace Street		London	X0	SW1E 5JD	13F HOLDINGS REPORT	028-20910	000136133	801-64644	N	
0000051812-23-000004	30-SEP-2023								STONEBRIDGE CAPITAL MANAGEMENT INC	1801 CENTURY PARK EAST SUITE 1800		LOS ANGELES	CA	90067	13F HOLDINGS REPORT	028-00659			N	
0001846532-23-000030	30-JUN-2023	Y	1	RESTATEMENT					Continuum Advisory, LLC	873 E. STATE STREET		EAGLE	ID	83616	13F HOLDINGS REPORT	028-21226	000283155	801-107439	N	
0001846532-23-000029	31-MAR-2023	Y	1	RESTATEMENT					Continuum Advisory, LLC	873 E. STATE STREET		EAGLE	ID	83616	13F HOLDINGS REPORT	028-21226	000283155	801-107439	N	
0001846532-23-000028	31-DEC-2022	Y	1	RESTATEMENT					Continuum Advisory, LLC	873 E. STATE STREET		EAGLE	ID	83616	13F HOLDINGS REPORT	028-21226	000283155	801-107439	N	
0001846532-23-000027	30-SEP-2022	Y	1	RESTATEMENT					Continuum Advisory, LLC	873 E. STATE STREET		EAGLE	ID	83616	13F HOLDINGS REPORT	028-21226	000283155	801-107439	N	
0001846532-23-000026	30-JUN-2022	Y	1	RESTATEMENT					Continuum Advisory, LLC	873 E. STATE STREET		EAGLE	ID	83616	13F HOLDINGS REPORT	028-21226	000283155	801-107439	N	
0001846532-23-000025	31-MAR-2022	Y	1	RESTATEMENT					Continuum Advisory, LLC	873 E. STATE STREET		EAGLE	ID	83616	13F HOLDINGS REPORT	028-21226	000283155	801-107439	N	
0001846532-23-000024	31-DEC-2021	Y	1	RESTATEMENT					Continuum Advisory, LLC	873 E. STATE STREET		EAGLE	ID	83616	13F HOLDINGS REPORT	028-21226	000283155	801-107439	N	
0001846532-23-000023	30-SEP-2021	Y	1	RESTATEMENT					Continuum Advisory, LLC	873 E. STATE STREET		EAGLE	ID	83616	13F HOLDINGS REPORT	028-21226	000283155	801-107439	N	
0001846532-23-000022	30-JUN-2021	Y	1	RESTATEMENT					Continuum Advisory, LLC	873 E. STATE STREET		EAGLE	ID	83616	13F HOLDINGS REPORT	028-21226	000283155	801-107439	N	
0000714142-23-000004	30-SEP-2023								TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY	479 VERSAILLES ROAD		FRANKFORT	KY	40601	13F HOLDINGS REPORT	028-01068			N	
0001420506-23-002302	30-SEP-2023	N							Bank of Israel	2 BANK OF ISRAEL ST., KIRYAT BEN GURION		JERUSALEM	L3	91007	13F NOTICE	028-16848			N	
0000850529-23-000012	30-JUN-2023	Y	1	RESTATEMENT					Fisher Asset Management, LLC	5525 NW FISHER CREEK DRIVE		CAMAS	WA	98607	13F HOLDINGS REPORT	028-02499	000107342	801-29362	Y	Amendment is filed to round market value of holdings to the nearest dollar.
0000850529-23-000011	31-MAR-2023	Y	1	RESTATEMENT					Fisher Asset Management, LLC	5525 NW FISHER CREEK DRIVE		CAMAS	WA	98607	13F HOLDINGS REPORT	028-02499	000107342	801-29362	Y	Amendment is filed to round market value of holdings to the nearest dollar.
0001104659-23-125265	30-SEP-2023	Y	2	RESTATEMENT	N				Decheng Capital Management III (Cayman), LLC	PO Box 309	Ugland House	Grand Cayman	E9	KY1-1104	13F HOLDINGS REPORT	028-22474			N	
0001894164-23-000012	30-JUN-2023								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000011	31-MAR-2023								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000006	31-DEC-2021								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000010	31-DEC-2022								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000002	31-DEC-2020								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000004	30-JUN-2021								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000007	31-MAR-2022								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000003	31-MAR-2021								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000008	30-JUN-2022								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000009	30-SEP-2022								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001894164-23-000005	30-SEP-2021								Burns Matteson Capital Management, LLC	42 EAST MARKET STREET		CORNING	NY	14830	13F HOLDINGS REPORT	028-23476	000118315	801-61036	N	
0001085146-23-004572	30-SEP-2023	N							Glovista Investments LLC	1 EVERTRUST PLAZA SUITE 1102		JERSEY CITY	NJ	07302	13F HOLDINGS REPORT	028-14929			N	
0001095449-23-000096	30-JUN-2023	Y	1	RESTATEMENT					RB Capital Management, LLC	5365 RENO CORPORATE DRIVE	SUITE 200	RENO	NV	89511	13F HOLDINGS REPORT	028-17960	000125678	801-62043	N	
0001725547-23-002738	30-SEP-2023	Y	1	RESTATEMENT					DELAP WEALTH ADVISORY, LLC	5885 MEADOWS ROAD	SUITE 200	LAKE OSWEGO	OR	97035	13F HOLDINGS REPORT	028-22928	000282312	801-118278	N	
0001372130-23-000004	30-SEP-2023								HEADINVEST, LLC	7 CUSTOM HOUSE STREET	4TH FLOOR	PORTLAND	ME	04101	13F HOLDINGS REPORT	028-11969			N	
0000877134-23-000016	30-SEP-2023								WESBANCO BANK INC	1 BANK PLZ		WHEELING	WV	26003	13F HOLDINGS REPORT	028-02925			N	
0001062993-23-022252	30-SEP-2023	N							Sunbelt Securities, Inc.	2700 POST OAK BLVD, SUITE 1700		HOUSTON	TX	77056	13F HOLDINGS REPORT	028-16583	000042180	801-71479	N	
0001957148-23-000008	30-SEP-2023								ETFIDEA, LLC	120 MADISON STREET	SUITE 1700	SYRACUSE	NY	13202	13F HOLDINGS REPORT	028-22761	000121188	801-69316	N	
0001085146-23-004568	30-SEP-2023	N							SYLEBRA CAPITAL LLC	3000 EL CAMINO REAL BUILDING 5 SUITE 450		PALO ALTO	CA	94306	13F HOLDINGS REPORT	028-23475	000316856	801-123124	Y	Due to change in filing entity (from Sylebra Capital Limited to Sylebra Capital LLC), Sylebra is refiling the 13F for Q3 2023.
0000931097-23-000004	30-SEP-2023								CCM INVESTMENT ADVISERS LLC	P O BOX 7488		COLUMBIA	SC	29202-7488	13F HOLDINGS REPORT	028-04518			N	
0001629271-23-000005	30-SEP-2023								PALLADIEM, LLC	1 TOWN PLACE	SUITE 200	BRYN MAWR	PA	19010	13F HOLDINGS REPORT	028-16378	000158989	801-72726	N	
0001629271-23-000004	30-JUN-2023								PALLADIEM, LLC	1 TOWN PLACE	SUITE 200	BRYN MAWR	PA	19010	13F HOLDINGS REPORT	028-16378	000158989	801-72726	N	
0001911726-23-000006	30-SEP-2023	Y	1	RESTATEMENT					Raleigh Capital Management Inc.	1400 CRESCENT GREEN DRIVE	SUITE 100	CARY	NC	27518	13F HOLDINGS REPORT	028-22260	000149538	801-121781	N	
0001539338-23-000009	30-SEP-2023								Financial Advisory Group	5599 SAN FELIPE	SUITE 900	HOUSTON	TX	77056	13F HOLDINGS REPORT	028-14635			N	
0001767343-23-000003	30-SEP-2023								DAGCO, INC.	27366 CENTER RIDGE ROAD		WESTLAKE	OH	44145	13F HOLDINGS REPORT	028-19349			N	
0001393825-23-000231	30-SEP-2023	Y	1	NEW HOLDINGS	N				Hudson Bay Capital Management LP	28 Havemeyer Place	2nd Floor	Greenwich	CT	06830	13F HOLDINGS REPORT	028-12909			N	
0001085146-23-004565	30-SEP-2023	N							Financial Insights, Inc.	3110 RUSTON WAY	SUITE C	TACOMA	WA	98402	13F HOLDINGS REPORT	028-19438			N	
0001172661-23-004076	30-SEP-2023	N							David R. Rahn & Associates Inc.	495 Seaport Court	Suite 106	Port Of Redwood City	CA	94063-2785	13F HOLDINGS REPORT	028-14108	000107501	801-41657	N	
0001172661-23-004075	30-SEP-2023	Y	2	NEW HOLDINGS	N				DigitalBridge Group, Inc.	750 Park of Commerce Drive	Suite 210	Boca Raton	FL	33487	13F HOLDINGS REPORT	028-19781			N	
0001172661-23-004074	30-SEP-2023	Y	1	RESTATEMENT	N				DigitalBridge Group, Inc.	750 Park of Commerce Drive	Suite 210	Boca Raton	FL	33487	13F HOLDINGS REPORT	028-19781			N	
0001750924-23-000005	30-SEP-2023								VisionPoint Advisory Group, LLC	17250 DALLAS PARKWAY		DALLAS	TX	75248	13F HOLDINGS REPORT	028-19208			N	
0001613331-23-000005	30-SEP-2023								Fragasso Group Inc.	610 SMITHFIELD STREET	SUITE 400	PITTSBURGH	PA	15222	13F HOLDINGS REPORT	028-16268			N	
0001993325-23-000003	31-DEC-2022								Slocum, Gordon & Co LLP	39 MILL STREET		NEWPORT	RI	02840	13F HOLDINGS REPORT	028-23401	000104929		N	
0001821219-23-000004	30-SEP-2023								Global Frontier Investments LLC	92 BROAD STREET		CHARLESTON	SC	29401	13F HOLDINGS REPORT	028-20338			N	
0001398344-23-022306	30-SEP-2023	N							Grant Street Asset Management, Inc.	380 SOUTHPOINTE BLVD	SOUTH POINTE PLAZA II SUITE 315	CANONSBURG	PA	15317	13F HOLDINGS REPORT	028-20331	000106980	801-43095	N	
0001911726-23-000005	30-SEP-2023								Raleigh Capital Management Inc.	1400 CRESCENT GREEN DRIVE	SUITE 100	CARY	NC	27518	13F HOLDINGS REPORT	028-22260	000149538	801-121781	N	
0001133219-23-000005	30-SEP-2023								MUHLENKAMP & CO INC	5000 STONEWOOD DRIVE, STE. 300		WEXFORD	PA	15090	13F HOLDINGS REPORT	028-03447			N	
0000919574-23-006637	30-JUN-2023	Y	1	NEW HOLDINGS	N				TEGEAN CAPITAL MANAGEMENT, LLC	405 LEXINGTON AVENUE	26TH FLOOR, SUITE 2622	New York	NY	10174	13F HOLDINGS REPORT	028-14980	000156764	801-74253	N	
0000919574-23-006635	31-MAR-2023	Y	1	NEW HOLDINGS	N				TEGEAN CAPITAL MANAGEMENT, LLC	405 Lexington Avenue	26th Floor, Suite 2622	New York	NY	10174	13F HOLDINGS REPORT	028-14980	000156764	801-74253	N	
0000919574-23-006633	31-DEC-2022	Y	1	NEW HOLDINGS	N				TEGEAN CAPITAL MANAGEMENT, LLC	405 Lexington Avenue	26th Floor, Suite 2622	New York	NY	10174	13F HOLDINGS REPORT	028-14980	000156764	801-74253	N	
0000919574-23-006632	30-JUN-2022	Y	2	NEW HOLDINGS	N				TEGEAN CAPITAL MANAGEMENT, LLC	405 Lexington Avenue	26th Floor, Suite 2622	New York	NY	10174	13F HOLDINGS REPORT	028-14980			Y	This amendment is being made to correct a clerical error in the initial filing.
0001398344-23-022280	30-SEP-2023	N							North Square Investments, LLC	200 WEST MADISON ST	SUITE 2610	CHICAGO	IL	60606	13F NOTICE	028-19569	000294355	801-115238	N	
0000919574-23-006629	30-SEP-2022	Y	1	NEW HOLDINGS	N				TEGEAN CAPITAL MANAGEMENT, LLC	405 Lexington Avenue	26th Floor, Suite 2622	New York	NY	10174	13F HOLDINGS REPORT	028-14980			N	
