ACCESSION_NUMBER,REPORTCALENDARORQUARTER,ISAMENDMENT,AMENDMENTNO,AMENDMENTTYPE,CONFDENIEDEXPIRED,DATEDENIEDEXPIRED,DATEREPORTED,REASONFORNONCONFIDENTIALITY,FILINGMANAGER_NAME,FILINGMANAGER_STREET1,FILINGMANAGER_STREET2,FILINGMANAGER_CITY,FILINGMANAGER_STATEORCOUNTRY,FILINGMANAGER_ZIPCODE,REPORTTYPE,FORM13FFILENUMBER,CRDNUMBER,SECFILENUMBER,PROVIDEINFOFORINSTRUCTION5,ADDITIONALINFORMATION,timestamp
0002023101-24-000015,31-DEC-2018,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000014,31-MAR-2019,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000013,30-JUN-2019,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000012,30-SEP-2019,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000011,31-DEC-2019,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000010,31-MAR-2020,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000009,30-JUN-2020,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000008,30-SEP-2020,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000007,31-DEC-2020,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000006,31-MAR-2021,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000005,30-JUN-2021,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000004,30-SEP-2021,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000003,31-DEC-2021,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F COMBINATION REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002035675-24-000003,30-JUN-2024,,,,,,,,"Black Diamond Financial, LLC/NJ",24 JOERG AVE.,,NUTLEY,NJ,07110,13F NOTICE,028-24357,314622.0,801-121640,N,,2023-10-01
0002035675-24-000002,31-MAR-2024,,,,,,,,"Black Diamond Financial, LLC/NJ",24 JOERG AVE.,,NUTLEY,NJ,07110,13F NOTICE,028-24357,314622.0,801-121640,N,,2023-10-01
0002035675-24-000001,31-DEC-2023,,,,,,,,"Black Diamond Financial, LLC/NJ",24 JOERG AVE.,,NUTLEY,NJ,07110,13F NOTICE,028-24357,314622.0,801-121640,N,,2023-10-01
0002035548-24-000001,30-JUN-2024,,,,,,,,Brown Financial Advisors,964 BUSINESS 28,,MILFORD,OH,45150,13F HOLDINGS REPORT,028-24356,147056.0,801-119541,N,,2023-10-01
0002023709-24-000003,31-MAR-2024,,,,,,,,NCP Inc.,56023 WINGED FOOT,,LA QUINTA,CA,92253,13F HOLDINGS REPORT,028-24353,,,N,,2023-10-01
0001420506-24-001962,30-JUN-2024,Y,1.0,NEW HOLDINGS,N,,,,SW Investment Management LLC,215 N Fir Street,,Telluride,CO,81435,13F HOLDINGS REPORT,028-20759,,,N,,2023-10-01
0000950123-24-009019,31-MAR-2024,N,,,,,,,CPIL2 Partnership,c/o ELCO Corporate Services Limited,Alvernia Ct Dowdeswell St PO Box N-3114,New Providence,C5,NASSAU,13F NOTICE,028-24354,,,N,,2023-10-01
0000950123-24-009018,31-MAR-2024,N,,,,,,,Consolidated Press International Ltd,c/o ELCO Corporate Services Limited,Alvernia Ct Dowdeswell St PO Box N-3114,New Providence,C5,NASSAU,13F NOTICE,028-24355,,,N,,2023-10-01
0000950123-24-009017,30-JUN-2024,N,,,,,,,Consolidated Press International Ltd,c/o ELCO Corporate Services Limited,Alvernia Ct Dowdeswell St PO Box N-3114,New Providence,C5,NASSAU,13F NOTICE,028-24355,,,N,,2023-10-01
0000950123-24-009015,31-DEC-2023,N,,,,,,,Consolidated Press International Ltd,c/o ELCO Corporate Services Limited,Alvernia Ct Dowdeswell St PO Box N-3114,New Providence,C5,NASSAU,13F NOTICE,028-24355,,,N,,2023-10-01
0000950123-24-009013,31-DEC-2023,N,,,,,,,CPIL2 Partnership,c/o ELCO Corporate Services Limited,Alvernia Ct Dowdeswell St PO Box N-3114,New Providence,C5,NASSAU,13F NOTICE,028-24354,,,N,,2023-10-01
0000950123-24-009011,30-JUN-2024,N,,,,,,,CPIL2 Partnership,c/o ELCO Corporate Services Limited,Alvernia Ct Dowdeswell St PO Box N-3114,New Providence,C5,NASSAU,13F NOTICE,028-24354,,,N,,2023-10-01
0002023709-24-000002,30-JUN-2024,,,,,,,,NCP Inc.,56023 WINGED FOOT,,LA QUINTA,CA,92253,13F HOLDINGS REPORT,028-24353,,,N,,2023-10-01
0001994744-24-000015,30-JUN-2024,,,,,,,,Centennial Bank/AR/,719 HARKRIDER STREET,,CONWAY,AR,72032,13F HOLDINGS REPORT,028-24344,,,N,,2023-10-01
0001994744-24-000014,31-MAR-2024,,,,,,,,Centennial Bank/AR/,719 HARKRIDER STREET,,CONWAY,AR,72032,13F HOLDINGS REPORT,028-24344,,,N,,2023-10-01
0001172661-24-003913,30-JUN-2024,N,,,,,,,MENDON CAPITAL ADVISORS CORP,150 Allens Creek Road,,Rochester,NY,14618,13F HOLDINGS REPORT,028-10662,113058.0,801-56497,N,,2023-10-01
0002035712-24-000001,30-JUN-2024,,,,,,,,"Giverny Capital Asset Management, LLC",600 MADISON AVENUE,SUITE 2300,NEW YORK,NY,10022,13F NOTICE,028-24352,306473.0,801-118218,N,,2023-10-01
0001218761-24-000003,30-JUN-2024,,,,,,,,PENSIOENFONDS RAIL & OV,P O BOX 2030,,UTRECHT,P7,3500 GA,13F HOLDINGS REPORT,028-10446,,,N,,2023-10-01
0001062993-24-015897,30-JUN-2024,N,,,,,,,"Strategic Investment Solutions, Inc. /IL","9501 W. 144TH PLACE, SUITE 101",,ORLAND PARK,IL,60462,13F HOLDINGS REPORT,028-23025,143128.0,,N,,2023-10-01
0001628280-24-038798,31-MAR-2024,Y,1.0,NEW HOLDINGS,Y,01-SEP-2024,14-MAY-2024,Confidential Treatment Expired,Provida Pension Fund Administrator,"AVENIDA APOQUINDO 2730, PISO 13,",,"LAS CONDES, SANTIAGO",F3,F3 00000,13F HOLDINGS REPORT,028-16107,,028-16107,Y,"THIS FILING LISTS SECURITIES HOLDINGS REPORTED ON THE FORM 13F FILED ON 5/14/2024 PURSUANT TO A REQUEST FOR CONFIDENTIAL TREATMENT AND FOR WHICH CONFIDENTIAL TREATMENT EXPIRED ON 9/1/2024. Please note that this 13F Holdings Report filer is affiliated with MetLife Investment Management, LLC and Metropolitan Life Insurance Company who also file 13F Holdings Reports. Each entity files its own 13F Holdings Report because each entity has investment discretion over certain 13(f) securities reported. All three 13F Holdings Report filers are under common control of their ultimate parent, MetLife, Inc., who files a 13F Combination Report.",2023-10-01
0001019231-24-000034,31-DEC-2023,Y,8.0,NEW HOLDINGS,,,,,UNIVERSITY OF TEXAS/TEXAS AM INVESTMENT MANAGEMENT CO,"210 W. 7TH STREET, SUITE 1700",,AUSTIN,TX,78701,13F HOLDINGS REPORT,028-05714,,,N,,2023-10-01
0001019231-24-000033,31-MAR-2024,Y,8.0,NEW HOLDINGS,,,,,UNIVERSITY OF TEXAS/TEXAS AM INVESTMENT MANAGEMENT CO,"210 W. 7TH STREET, SUITE 1700",,AUSTIN,TX,78701,13F HOLDINGS REPORT,028-05714,,,N,,2023-10-01
0001398344-24-016808,30-JUN-2024,N,,,,,,,"Glenmede Investment Management, LP","1650 MARKET STREET, 12TH FLOOR",,PHILADELPHIA,PA,19103,13F NOTICE,028-24351,108165.0,801-57826,N,,2023-10-01
0001019231-24-000032,31-MAR-2024,Y,18.0,NEW HOLDINGS,,,,,UNIVERSITY OF TEXAS/TEXAS AM INVESTMENT MANAGEMENT CO,"210 W. 7TH STREET, SUITE 1700",,AUSTIN,TX,78701,13F HOLDINGS REPORT,028-05714,,,N,,2023-10-01
0001598180-24-000009,31-DEC-2023,Y,1.0,RESTATEMENT,,,,,Waldron Private Wealth LLC,44 ABELE ROAD,SUITE 400,BRIDGEVILLE,PA,15017,13F HOLDINGS REPORT,028-15725,,,N,,2023-10-01
0001598180-24-000008,30-SEP-2023,Y,1.0,RESTATEMENT,,,,,Waldron Private Wealth LLC,44 ABELE ROAD,SUITE 400,BRIDGEVILLE,PA,15017,13F HOLDINGS REPORT,028-15725,,,N,,2023-10-01
0001598180-24-000007,30-JUN-2023,Y,1.0,RESTATEMENT,,,,,Waldron Private Wealth LLC,44 ABELE ROAD,SUITE 400,BRIDGEVILLE,PA,15017,13F HOLDINGS REPORT,028-15725,,,N,,2023-10-01
0001598180-24-000006,31-MAR-2023,Y,1.0,RESTATEMENT,,,,,Waldron Private Wealth LLC,44 ABELE ROAD,SUITE 400,BRIDGEVILLE,PA,15017,13F HOLDINGS REPORT,028-15725,,,N,,2023-10-01
0001019231-24-000031,30-SEP-2023,Y,7.0,NEW HOLDINGS,,,,,UNIVERSITY OF TEXAS/TEXAS AM INVESTMENT MANAGEMENT CO,"210 W. 7TH STREET, SUITE 1700",,AUSTIN,TX,78701,13F HOLDINGS REPORT,028-05714,,,N,,2023-10-01
0001172661-24-003818,30-JUN-2024,N,,,,,,,"SRN Advisors, LLC",2600 PHILMONT AVENUE,SUITE 215,HUNTINGDON VALLEY,PA,19006,13F HOLDINGS REPORT,028-24200,307155.0,801-118171,N,,2023-10-01
0001019231-24-000030,30-JUN-2024,Y,27.0,NEW HOLDINGS,,,,,UNIVERSITY OF TEXAS/TEXAS AM INVESTMENT MANAGEMENT CO,"210 W. 7TH STREET, SUITE 1700",,AUSTIN,TX,78701,13F HOLDINGS REPORT,028-05714,,,N,,2023-10-01
0001994744-24-000013,31-DEC-2023,Y,1.0,RESTATEMENT,,,,,Centennial Bank/AR/,719 HARKRIDER STREET,,CONWAY,AR,72032,13F HOLDINGS REPORT,028-24344,,,N,,2023-10-01
0001994744-24-000012,31-DEC-2022,Y,1.0,RESTATEMENT,,,,,Centennial Bank/AR/,719 HARKRIDER STREET,,CONWAY,AR,72032,13F HOLDINGS REPORT,028-24344,,,N,,2023-10-01
0001085146-24-004359,31-MAR-2024,N,,,,,,,Cowen Investment Management LLC,"599 LEXINGTON AVENUE, 20TH FLOOR",,NEW YORK,NY,10022,13F HOLDINGS REPORT,028-13626,,,Y,"Cowen Investment Management LLC and its affiliates (""Cowen"") may be deemed to be ultimately controlled by Toronto-Dominion Bank and its affiliates (""TD""), by virtue of their corporate relationship.  Neither TD nor Cowen share information with one another related to their investments, with certain exceptions.  However, under Section 13(f) of the Securities Exchange Act 1934, as amended, and the rules promulgated thereunder, TD may be deemed to have shared investment discretion with Cowen over the securities managed by Cowen.",2023-10-01
0001085146-24-004358,30-JUN-2024,N,,,,,,,Cowen Investment Management LLC,"599 LEXINGTON AVENUE, 20TH FLOOR",,NEW YORK,NY,10022,13F HOLDINGS REPORT,028-13626,,,Y,"Cowen Investment Management LLC and its affiliates (""Cowen"") may be deemed to be ultimately controlled by Toronto-Dominion Bank and its affiliates (""TD""), by virtue of their corporate relationship.  Neither TD nor Cowen share information with one another related to their investments, with certain exceptions.  However, under Section 13(f) of the Securities Exchange Act 1934, as amended, and the rules promulgated thereunder, TD may be deemed to have shared investment discretion with Cowen over the securities managed by Cowen.",2023-10-01
0001085146-24-004350,31-DEC-2023,N,,,,,,,Cowen Investment Management LLC,"599 LEXINGTON AVENUE, 20TH FLOOR",,NEW YORK,NY,10022,13F HOLDINGS REPORT,028-13626,,,Y,"Cowen Investment Management LLC and its affiliates (""Cowen"") may be deemed to be ultimately controlled by Toronto-Dominion Bank and its affiliates (""TD""), by virtue of their corporate relationship.  Neither TD nor Cowen share information with one another related to their investments, with certain exceptions.  However, under Section 13(f) of the Securities Exchange Act 1934, as amended, and the rules promulgated thereunder, TD may be deemed to have shared investment discretion with Cowen over the securities managed by Cowen.",2023-10-01
0001994744-24-000011,31-DEC-2023,,,,,,,,Centennial Bank/AR/,719 HARKRIDER STREET,,CONWAY,AR,72032,13F HOLDINGS REPORT,028-24344,,,N,,2023-10-01
0001633046-24-000007,30-JUN-2024,Y,1.0,RESTATEMENT,,,,,Maven Securities LTD,28 ESPLANADE,,ST HELIER,Y9,JE1 8SB,13F HOLDINGS REPORT,028-17724,,,N,,2023-10-01
0001632966-24-000019,31-DEC-2020,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000018,31-MAR-2021,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000017,30-JUN-2021,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000016,30-SEP-2021,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000015,31-DEC-2021,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000014,31-MAR-2022,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001994744-24-000010,30-SEP-2023,,,,,,,,Centennial Bank/AR/,719 HARKRIDER STREET,,CONWAY,AR,72032,13F HOLDINGS REPORT,028-24344,,,N,,2023-10-01
0001632966-24-000013,30-JUN-2022,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000012,30-SEP-2022,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000011,31-DEC-2022,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000010,31-MAR-2023,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000009,30-JUN-2023,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000008,30-SEP-2023,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001994744-24-000009,30-JUN-2023,,,,,,,,Centennial Bank/AR/,719 HARKRIDER STREET,,CONWAY,AR,72032,13F HOLDINGS REPORT,028-24344,,,N,,2023-10-01
0001632966-24-000007,31-DEC-2023,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001632966-24-000006,31-MAR-2024,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001754960-24-000453,30-JUN-2024,,,,,,,,Gibson Wealth Advisors LLC,1015 PRUITT PLACE,SUITE 105,TYLER,TX,75703,13F HOLDINGS REPORT,028-22255,,,N,,2023-10-01
0001754960-24-000452,31-MAR-2024,,,,,,,,Gibson Wealth Advisors LLC,1015 PRUITT PLACE,SUITE 105,TYLER,TX,75703,13F HOLDINGS REPORT,028-22255,,,N,,2023-10-01
0001469751-24-000011,30-JUN-2024,Y,1.0,RESTATEMENT,,,,,"RiverFront Investment Group, LLC",1214 EAST CARY STREET,,RICHMOND,VA,23219,13F COMBINATION REPORT,028-13577,146221.0,801-68810,N,,2023-10-01
0001469751-24-000010,31-MAR-2024,Y,1.0,RESTATEMENT,,,,,"RiverFront Investment Group, LLC",1214 EAST CARY STREET,,RICHMOND,VA,23219,13F COMBINATION REPORT,028-13577,146221.0,801-68810,N,,2023-10-01
0001469751-24-000009,31-DEC-2023,Y,1.0,RESTATEMENT,,,,,"RiverFront Investment Group, LLC",1214 EAST CARY STREET,,RICHMOND,VA,23219,13F COMBINATION REPORT,028-13577,146221.0,801-68810,N,,2023-10-01
0001469751-24-000008,30-SEP-2023,Y,1.0,RESTATEMENT,,,,,"RiverFront Investment Group, LLC",1214 EAST CARY STREET,,RICHMOND,VA,23219,13F COMBINATION REPORT,028-13577,146221.0,801-68810,N,,2023-10-01
0001469751-24-000007,30-JUN-2023,Y,1.0,RESTATEMENT,,,,,"RiverFront Investment Group, LLC",1214 EAST CARY STREET,,RICHMOND,VA,23219,13F COMBINATION REPORT,028-13577,146221.0,801-68810,N,,2023-10-01
0002035533-24-000001,30-JUN-2024,,,,,,,,HERITAGE OAK WEALTH ADVISORS LLC,105 GARFELD ST,,SANTA ROSA BEACH,FL,32459,13F HOLDINGS REPORT,028-24350,323925.0,,N,,2023-10-01
0001962449-24-000005,30-JUN-2024,,,,,,,,"Kestra Investment Management, LLC",5707 SOUTHWEST PARKWAY,"BUILDING 2, SUITE 400",AUSTIN,TX,78735,13F COMBINATION REPORT,028-24349,317711.0,801-122889,N,,2023-10-01
0001994744-24-000008,31-MAR-2023,,,,,,,,Centennial Bank/AR/,719 HARKRIDER STREET,,CONWAY,AR,72032,13F HOLDINGS REPORT,028-24344,,,N,,2023-10-01
0000918504-24-000005,30-JUN-2024,,,,,,,,BIRMINGHAM CAPITAL MANAGEMENT CO INC/AL,2 PERIMETER PARK SOUTH,SUITE 235-EAST,BIRMINGHAM,AL,35243-3253,13F HOLDINGS REPORT,028-04074,,,N,,2023-10-01
0001728681-24-000006,30-JUN-2024,,,,,,,,SYCOMORE ASSET MANAGEMENT,14 AVENUE HOCHE,,PARIS,I0,75008,13F HOLDINGS REPORT,028-19409,,,N,,2023-10-01
0001632966-24-000005,30-JUN-2024,,,,,,,,Farmers National Bank,304 WEST MAIN STREET,,DANVILLE,KY,40422,13F HOLDINGS REPORT,028-16480,,,N,,2023-10-01
0001420506-24-001814,30-JUN-2024,Y,1.0,RESTATEMENT,N,,,,"SILVERARC CAPITAL, LLC",20 PARK PLAZA,4TH FLOOR,BOSTON,MA,02116,13F NOTICE,028-20993,,,N,,2023-10-01
0001903905-24-000013,31-MAR-2024,Y,1.0,RESTATEMENT,N,,,,"Peterson Financial Group, Inc.","220 Sw 9th, Suite 230",,Des Moines,IA,50309,13F HOLDINGS REPORT,028-21545,169519.0,801-120786,N,,2023-10-01
0001903905-24-000012,31-DEC-2023,Y,1.0,RESTATEMENT,N,,,,"Peterson Financial Group, Inc.","220 Sw 9th, Suite 230",,Des Moines,IA,50309,13F HOLDINGS REPORT,028-21545,169519.0,801-120786,N,,2023-10-01
0001903905-24-000011,30-SEP-2023,Y,1.0,RESTATEMENT,N,,,,"Peterson Financial Group, Inc.","220 Sw 9th, Suite 230",,Des Moines,IA,50309,13F HOLDINGS REPORT,028-21545,169519.0,801-120786,N,,2023-10-01
0001903905-24-000010,30-JUN-2023,Y,1.0,RESTATEMENT,N,,,,"Peterson Financial Group, Inc.","220 Sw 9th, Suite 230",,Des Moines,IA,50309,13F HOLDINGS REPORT,028-21545,169519.0,801-120786,N,,2023-10-01
0001811240-24-000003,30-JUN-2024,,,,,,,,Souders Financial Advisors,5968 BRIDGETOWN ROAD,,CINCINNATI,OH,45248,13F HOLDINGS REPORT,028-20245,,,N,,2023-10-01
